STATEFP,D2B_E8MIXA,D3B,D4A,D4B025,D4B050,D5BR,D5BE,NatWalkInd
AK,0.5527042056504854,46.66505812470786,502.7899393939394,4.92905e-05,0.000197195,50234.59668508287,276.58011049723757,8.204744069853932
AL,0.5322669734847175,37.90055670735826,462.9526392251816,,,15096.038775510204,5033.032653061225,6.831200310265562
AR,0.5475730931126492,41.37709391949325,549.742463768116,0.195119910125,0.3386904065833333,26965.943396226416,10081.834905660377,6.722558608969726
AZ,0.5303225611172114,91.55977434830649,556.4264655942807,0.31249967717874017,0.5849701942602095,65861.01157613535,42820.97905525847,10.104196585221876
CA,0.571790727560673,113.78850946946488,482.94430540508006,0.31904778868327693,0.5242686898368452,160437.7320823103,114664.59618869469,12.224969843226736
CO,0.5791954194499283,96.97426641827721,541.7881200453002,0.2201965364221222,0.4231700780738889,102538.42303370786,64043.9202247191,10.530860702161949
CT,0.5738345542826772,56.589947019450776,464.67843294460647,0.16685663794704844,0.3737215871938535,44294.44711538462,26866.64423076923,10.084461637630561
DC,0.5006910486930233,160.73481757155554,263.7043908045977,0.40409497068041245,0.7048954136387302,442742.0066815145,247796.1158129176,14.471481481526668
DE,0.560712031814882,68.85940211251403,532.0708405797102,0.1504577195,0.34298639350000004,56307.20563380282,35739.92957746479,10.481416957139373
FL,0.5775646881768708,82.71359547712312,552.1727181641888,0.27949861612010946,0.46168744952865604,69952.47299014936,49812.24483635208,10.470168385472121
GA,0.5613783419468401,45.971197734573906,570.1150766456267,0.22308228188549623,0.4089008867245,91122.49823633156,39998.15608465608,7.590637990212542
HI,0.5450778044227941,73.10487587210119,350.37736141906873,,,114718.36475409837,85186.28278688525,9.988952381049144
IA,0.5691750434846959,49.53277997184519,455.0911855670103,,,32216.392092257003,16121.657331136737,8.100887198984411
ID,0.6020590918459119,55.37724066795327,547.7834931506849,,,26547.067567567567,12061.452702702703,7.976635513977155
IL,0.5244234519723487,103.52764134837895,399.0867889530091,0.35197901318459085,0.6043596320584146,279844.489923418,160021.85288190245,10.466429333047572
IN,0.5165700445198532,68.39967619332052,499.59065268065274,0.08953828005405406,0.25067811248214283,54998.03550973654,23855.333333333332,7.809756266478812
KS,0.5416591105008703,68.31547877541813,573.772203898051,,,24846.300586510264,13940.021994134897,8.611867290562314
KY,0.5368731669598863,44.49773322321505,507.57225449515903,0.0088276185,0.04506823133333334,68676.52080536913,37302.62147651007,7.209690512488584
LA,0.5369830738183774,64.86337649087238,367.09561205273076,0.590919012,0.7333231359882353,75898.25678119349,44992.25316455696,7.656006914408239
MA,0.5749301573809911,105.23294044956938,435.6247329874886,0.35163783264258475,0.5590898920218492,167450.3494623656,102755.82437275986,11.627214978272818
MD,0.5410937664368748,88.24643733989993,459.96452181577786,0.24244670320128853,0.45047063166740403,183141.2473025464,126420.11048769961,10.482722024047376
ME,0.6402518911767442,32.27219928675418,446.76436170212764,0.13389441582142858,0.2997653582866667,32833.16161616162,14743.585858585859,7.070135052152854
MI,0.5302137434367936,63.86600247425046,439.5793183038111,0.4069530382650943,0.5680835086896552,80245.76042216358,56282.635356200524,7.963254113358439
MN,0.5555180790953448,64.21374169789917,430.40886754966886,0.3361128914915254,0.5345372592651336,158962.9474350855,86345.7042431919,9.184180653532229
MO,0.5736072993878748,61.788937517157606,534.2777650897227,0.34624162341592923,0.5380630195636842,93274.28983186549,55561.35628502802,8.57700843323058
MS,0.5142203245102539,31.782409892927777,559.2247107438016,,,23797.30081300813,8108.691056910569,6.00454405422366
MT,0.6299103520566265,61.435811700646845,402.69553571428565,,,21508.477876106193,14833.575221238938,8.054235946263658
NC,0.5645554610273541,41.15426527980078,588.8342144373673,0.2538088851388889,0.5121492701630435,53850.10655737705,19835.83094262295,7.271080422435093
ND,0.6019759396155203,53.648567978269234,396.8905172413793,,,24990.560344827587,18546.78448275862,8.305069930096153
NE,0.5745758999738643,75.65232404271018,487.365285451197,,,25371.727436823105,15973.628158844765,9.34956113494856
NH,0.6284625777817984,42.60456845349077,676.4266666666667,0.07635984518181818,0.2712114625384615,6890.125,3449.0,7.148951554572668
NJ,0.5751400810521895,102.00588567949715,468.8608573452999,0.2670229671562445,0.493598515775682,219919.57958715595,106931.64043139055,11.868248945149524
NM,0.5616037317065997,70.33463115928473,587.4733475479744,0.0837845159051282,0.25600081742307695,49659.832627118645,30786.73093220339,8.816885208187717
NV,0.5299936941683343,113.86491586964351,561.0373554421768,0.35323490446281,0.5751323331487047,88587.39847715736,60795.16074450085,10.979484386342591
NY,0.563157690811849,97.0429919517881,347.06356380167034,0.6428347491319335,0.809780840506199,1125233.3436581062,585632.6935215133,11.24700898918651
OH,0.5310903098071708,67.35317686696533,474.52174001354103,0.40959788924260354,0.631791422184513,77454.00907323396,42524.11471160078,8.705996969033235
OK,0.5612671996435507,63.095543936162564,581.51660944206,0.4721617190833333,0.4726848963636364,43694.80823863636,18873.109375,8.242608206912985
OR,0.6192508627420953,90.24700980747163,494.5217172330097,0.33080277873550723,0.5280734022819387,56084.09284890427,36219.15974625144,11.471146545098328
PA,0.5697786999757449,102.00587116882869,388.67080624520094,0.4597728849225686,0.6783661428848075,174134.92974408498,121897.48454852728,10.165075290893327
PR,,100.89566959371007,,0.3265975577546666,0.6235889476261904,,,4.618350038529684
RI,0.5929751802307692,126.63272432567364,455.243698630137,0.17259392079166666,0.34246985608510644,52852.815,38545.235,12.58793456026871
SC,0.5420566688381562,39.31293034324589,610.4601452282159,,,24510.696907216494,8731.380658436214,7.101939631713305
SD,0.6203697325062305,46.04019308339603,457.6528395061727,,,42371.27380952381,732.0238095238095,7.62512742111009
TN,0.524874514075258,43.59018384537482,549.02299270073,0.21293408329411764,0.3230826229074073,45107.90826612903,18846.12688821752,7.30969696972606
TX,0.5367442945491223,77.86243830591042,500.75794303192504,0.22112303087664975,0.43209252565623,138297.05157914408,65133.68230237339,9.081609849683828
UT,0.6150324394632397,82.36388090520177,569.1468664563619,0.2576003311206818,0.4515780333034482,64354.957157784746,40925.16823406478,11.00463510845148
VA,0.5488576659163951,61.34463880123936,513.4198560817085,0.25979279,0.4596718594982034,102444.35678845286,55405.52864230943,8.976212803214741
VI,,83.8154181425465,,,,,,4.322097378269663
VT,0.6600007022552783,25.356052801588124,539.5134391534391,0.15350078228571426,0.33165924146153836,10135.09793814433,5412.29381443299,8.55619412527203
WA,0.5451979256869436,86.40668897977343,491.2904615384615,0.24398905792769232,0.42317462804679884,131607.45740223464,66521.66061452514,10.503867865431946
WI,0.5640083352001363,66.5848074372046,381.4265924276169,0.44957612636666666,0.560076628319149,78629.92571428571,62435.74071428571,8.874470928929382
WV,0.5625045777224409,43.78368573749182,900.1619999999999,0.10451113988888888,0.26741745435714287,1875.2,1343.4,6.285385259639447
WY,0.6122649036600986,59.71657347300977,820.7642857142856,,,1372.7142857142858,682.7142857142857,7.478455284492682
